ade_cnn, fraction
1.3064323895507388,1
1.3651863949166403,2
1.3773863470112835,3
1.3521043318841193,4
1.3197172103656662,5
1.3600693131210628,6
1.3202832735010557,7
1.3390453334690795,8
1.3579008587532573,9
1.3477726534836822,10
1.3280493890245755,11
1.371243195263324,12
1.3950382811136735,13
1.384812548520073,14
1.4041677314926078,15
1.4384304157768686,16
1.464426916798735,17
1.4691828359608297,18
1.4675894027564957,19
1.4670378271904256,20
1.4872910038188651,21
1.505009828944399,22
1.5094764868994266,23
1.5368258718539167,24
1.5456210686100853,25
1.551945375581073,26
1.5411869361076826,27
1.5424006189264001,28
1.5578807752822095,29
1.5653187864908467,30
1.5690533246938474,31
1.5758863227545388,32
1.5830211077976708,33
1.5864869488123197,34
1.5839801040433703,35
1.5808003950450156,36
1.576144862192887,37
1.595238852744911,38
1.600288924158808,39
1.5899104333586163,40
1.585602908720815,41
1.592179921135385,42
1.5958227461507155,43
1.6023400263540974,44
1.6134775285919507,45
1.6147753370808806,46
1.610774718401139,47
1.6150153314315334,48
1.611216230372858,49
1.6116033907731373,50
1.613131944422888,51
1.6142779492542274,52
1.6097085090428278,53
1.6104132253446697,54
1.6052019587369881,55
1.601051635123671,56
1.601005284961669,57
1.6001203990759063,58
1.6039367001328315,59
1.6049073740012116,60
1.6047229825201799,61
1.6034789805210405,62
1.6031544998393277,63
1.6003422398094296,64
1.60306754380974,65
1.611603281401123,66
1.6072151312484078,67
1.6069463669912878,68
1.6155315681020226,69
1.623686259677486,70
1.6378850330815815,71
1.6417300082559203,72
1.651494894148371,73
1.6598831085381922,74
1.6612851627005472,75
1.6615486694445387,76
1.6671603611881427,77
1.6730204095527996,78
1.6812028574289652,79
1.683097682106826,80
1.6864364617318937,81
1.6855769595560344,82
1.693193752922048,83
1.692949022742964,84
1.6921013781058243,85
1.6986586860446042,86
1.6955794382978369,87
1.6946514591273636,88
1.695984745126092,89
1.6982388307834848,90
1.7005354134190795,91
1.70554898634265,92
1.7116940325413126,93
1.7133051375583273,94
1.725126681446332,95
1.7341110474533505,96
1.7368575813502654,97
1.743579433246805,98
1.7464913446226238,99
1.7489044657349586,100
