ade_cnn, fraction
1.0,1
0.9197126755052702,2
0.9068228627283409,3
0.8428972790816424,4
0.8235962029438558,5
0.829237765156476,6
0.8251299195397669,7
0.8380746005764105,8
0.8385814770356796,9
0.826019923531616,10
0.8197689364803901,11
0.8050127204048259,12
0.8146599481504884,13
0.8237034728131382,14
0.8294227292798381,15
0.8343774046020138,16
0.8307465903677581,17
0.8295961660151029,18
0.8216448358479677,19
0.8195997118268105,20
0.8197879004882009,21
0.8191890683264439,22
0.8172920493202084,23
0.8133022462668379,24
0.8131048830271145,25
0.810589694287313,26
0.8093480824168656,27
0.803640343457467,28
0.803093951442877,29
0.8000692206270039,30
0.8016722510944952,31
0.8026603884207947,32
0.79777214021219,33
0.794589889990939,34
0.7989879983357498,35
0.7976861171170629,36
0.7940940483120296,37
0.7950557202717556,38
0.7919565939777877,39
0.7880319606814665,40
0.7856061608714526,41
0.7865741066559774,42
0.7855268967555222,43
0.7867276464926112,44
0.7876243195539585,45
0.7888680614603668,46
0.7900047980536449,47
0.788435160787806,48
0.7877897560693038,49
0.7868592741037495,50
0.7874565305101425,51
0.7872516112018104,52
0.7863420279961021,53
0.785246378876596,54
0.7841612079537312,55
0.7812766780665961,56
0.7816443336659503,57
0.7801947587693807,58
0.7810544357055669,59
0.7827152242779415,60
0.7817761951011147,61
0.7817793139955833,62
0.7820401231637645,63
0.7819916239309053,64
0.7821574661066638,65
0.7808321746393416,66
0.7798334612235454,67
0.7776852711195628,68
0.7774032366515249,69
0.7773616612679158,70
0.7754185766075079,71
0.7736617142858858,72
0.773093874321763,73
0.7724929478203862,74
0.7697954291332052,75
0.768464925122403,76
0.7682669215023618,77
0.7659423699930769,78
0.7654214923946764,79
0.7656718664911507,80
0.7652654746959457,81
0.7635547858611905,82
0.7615850239093104,83
0.759868564520976,84
0.7593905627962645,85
0.7577437168826813,86
0.7569761085114081,87
0.755077452429507,88
0.752982628602561,89
0.7533391379314089,90
0.7517007375994337,91
0.7495251097156762,92
0.7484668999331511,93
0.7469900518888983,94
0.7458340394769941,95
0.7456334773604478,96
0.7445090137431805,97
0.7441045978343341,98
0.7426892521100174,99
