ade_cnn, fraction
1.558939728471968,1
1.5857620255814657,2
1.503885864659592,3
1.4164355041252241,4
1.3961221274402407,5
1.3907567759354909,6
1.4505073201088678,7
1.459464728107883,8
1.4723175814674225,9
1.447651495784521,10
1.4482543231411413,11
1.4490158949047327,12
1.4701214658144193,13
1.4678227362178622,14
1.468452822499805,15
1.4950428484007716,16
1.4851006067851011,17
1.485177522364222,18
1.476347716492519,19
1.5063145331210561,20
1.5030825466863693,21
1.4885153135265967,22
1.4733156043550242,23
1.4903227337118652,24
1.4898907563090324,25
1.4870597352393162,26
1.4896495454779868,27
1.4919217823457622,28
1.4929201365716156,29
1.4845559257324095,30
1.4857794221851133,31
1.4894728220016178,32
1.4836053270031306,33
1.4854150455128523,34
1.493711962420789,35
1.4997564318969294,36
1.4939548727852088,37
1.499782206131178,38
1.4951234213010198,39
1.484514056208233,40
1.4883674604257917,41
1.4967097660733595,42
1.5047266758805098,43
1.5101983241097192,44
1.5103925566798375,45
1.517840480836837,46
1.5187956201128363,47
1.5254714722848601,48
1.5194046536878663,49
1.530924712518851,50
1.5389833497390768,51
1.5489893495463407,52
1.5518294993623998,53
1.5556593112064978,54
1.5493095393734748,55
1.556736952787827,56
1.5576869912198645,57
1.562307593808777,58
1.5720038007657182,59
1.5703685266828096,60
1.5755277968440986,61
1.5793544462878644,62
1.575604198392106,63
1.5717993481602106,64
1.5762751513821447,65
1.5717115457411166,66
1.5752004139607225,67
1.5764587402002874,68
1.5757420493736742,69
1.5727511753165533,70
1.5765938090746392,71
1.5798066621531306,72
1.5764981531616034,73
1.5730829372017592,74
1.578571527445758,75
1.5783032674277038,76
1.584212589702565,77
1.5924934956253085,78
1.596605788303327,79
1.6017276992400487,80
1.602710685285194,81
1.611875340726156,82
1.617979186775295,83
1.626505836538931,84
1.6320372271479344,85
1.6315229811948708,86
1.6404247295734677,87
1.6402550357760806,88
1.6440968173050254,89
1.6526431601724507,90
1.6631323658066355,91
1.6665314636080737,92
1.6695487855298259,93
1.6710362938666457,94
1.6768242128759796,95
1.6859059316382088,96
1.691018112951128,97
1.6961871751852318,98
1.704531283123057,99
1.7171997284889222,100
