ade_cnn, fraction
2.1606986853811474,1
2.261956042713589,2
2.2742291269478976,3
2.3630910143256187,4
2.3188146611054736,5
2.2663619040890977,6
2.180190819359961,7
2.1639654911640616,8
2.2151051456177675,9
2.2255606712566482,10
2.2713687489129075,11
2.2487411278265492,12
2.2691019439799156,13
2.284987210517838,14
2.2633547378910914,15
2.231024336276783,16
2.2508166153836093,17
2.2737348230532657,18
2.2907881186022396,19
2.278364764733447,20
2.302115300108516,21
2.301927512417538,22
2.3321216334611323,23
2.364941639687728,24
2.3791985801193447,25
2.4257739327020116,26
2.42145610008956,27
2.440416876581453,28
2.418956243729226,29
2.418704201060313,30
2.4145944393022942,31
2.4312163909069366,32
2.4440854536965237,33
2.4359386997674806,34
2.435913152637936,35
2.4510877477350057,36
2.4578695309770717,37
2.4577142419347986,38
2.474344564214391,39
2.4842144339448877,40
2.492576474823603,41
2.4958040092987988,42
2.5017613308066236,43
2.519342100228926,44
2.5136462227061944,45
2.5263447152531664,46
2.536593255633158,47
2.549558581025512,48
2.559488481472409,49
2.573266711566183,50
2.579277887128797,51
2.59555295893015,52
2.5949172770577156,53
2.603434918471325,54
2.620064479172832,55
2.620045129387152,56
2.6323503905918164,57
2.6400177443963813,58
2.653893027321318,59
2.665812530396161,60
2.66088820062917,61
2.657894198772728,62
2.6684599928754977,63
2.6632426029278173,64
2.6669870379643563,65
2.6857479419371093,66
2.6938254561392623,67
2.702107773594607,68
2.7073037078223177,69
2.720166197844914,70
2.721378877082714,71
2.7242154260568414,72
2.742592632906622,73
2.753921010517501,74
2.7593449149749896,75
2.7590512421570326,76
2.7608589340340006,77
2.7683316593581115,78
2.77644426605118,79
2.778614743074609,80
2.7819426355088854,81
2.7887766422819964,82
2.7885566136564117,83
2.7878412597039075,84
2.785202655352019,85
2.7933364892306254,86
2.797787211654591,87
2.804311389893745,88
2.8138465963759822,89
2.8228730128319177,90
2.8231200351856276,91
2.8268503468429698,92
2.829781994294807,93
2.8356802008922783,94
2.836675589597016,95
2.841306103721123,96
2.8501011504442832,97
2.8533032555935605,98
2.870378047913547,99
