ade_cnn, fraction
2.813467287354999,1
2.6621801604827247,2
2.6739905962237605,3
2.609050811992751,4
2.559029593070348,5
2.499388634606644,6
2.4246053487535506,7
2.3237289976742534,8
2.2390123153174364,9
2.2187435247831875,10
2.212388973494973,11
2.1576666179354542,12
2.1633516713085337,13
2.195096582174301,14
2.2109391815132566,15
2.2207104975564613,16
2.1930820943872913,17
2.155444399258237,18
2.222902234186206,19
2.1932854978574645,20
2.1906597220077715,21
2.208802103093176,22
2.19492247743883,23
2.188928449457442,24
2.1903360568152532,25
2.1838290053300367,26
2.166755005655956,27
2.1846537493051046,28
2.1921103042318446,29
2.2092661360899606,30
2.2195951242173444,31
2.2415545612780585,32
2.2527415136797257,33
2.2535615416815857,34
2.2504247164915476,35
2.2568754661414356,36
2.2539028829640455,37
2.2511436185031606,38
2.2651585281489584,39
2.2635314658698107,40
2.258641980406715,41
2.2623889177012697,42
2.2651301647418536,43
2.2572459605230826,44
2.267232300948214,45
2.2632326137112533,46
2.262620079918956,47
2.272491338110908,48
2.2794146000190114,49
2.283870451086097,50
2.292861356422273,51
2.2940960140882902,52
2.3086263715783506,53
2.3163456280596955,54
2.3152998306233474,55
2.323778359042037,56
2.338700122361527,57
2.3382688236933102,58
2.3514128360202755,59
2.352924501316415,60
2.366138668198186,61
2.3854990771113758,62
2.392217698787886,63
2.3939555960241705,64
2.3932143138259905,65
2.3956332576997355,66
2.398006782504061,67
2.423095869034334,68
2.434610191990596,69
2.4312965510383484,70
2.4323454723811486,71
2.4520236868871215,72
2.462932616086674,73
2.4745584733717076,74
2.476817427719081,75
2.495488468209031,76
2.4961148716111548,77
2.502006858735852,78
2.5075410319657268,79
2.506939812335703,80
2.5085618766574047,81
2.524668003364307,82
2.5351573576729303,83
2.542553454992317,84
2.5478504762930028,85
2.546762353343557,86
2.557186442202535,87
2.56413203782656,88
2.5745894664086952,89
2.576665421216576,90
2.5814623387669178,91
2.592478623676703,92
2.597143057106216,93
2.59782168829272,94
2.608431304703679,95
2.611773146989031,96
2.608365075745943,97
2.6136437059800373,98
2.621200552157949,99
