ade_cnn, fraction
1.5767908659246233,1
1.7888558093044493,2
1.887580394744873,3
1.9210782154566712,4
1.9529380642705494,5
1.9899544343352318,6
2.0615756646508263,7
2.047226987158259,8
2.100791318733015,9
2.086111097700066,10
2.1066227863834364,11
2.1437956976393857,12
2.215956556618723,13
2.2724005997417467,14
2.306695177378478,15
2.291875433901118,16
2.363842649689687,17
2.3660755002020317,18
2.343544597078485,19
2.3774679514269033,20
2.382279253589413,21
2.364275720083352,22
2.3741841394688197,23
2.4045313707794302,24
2.3989915473593606,25
2.41188595443964,26
2.408374142315653,27
2.426598269610651,28
2.4023084202602907,29
2.432134412891335,30
2.4479458689369182,31
2.455386370730897,32
2.45744711898192,33
2.463540699600784,34
2.492610349967366,35
2.5094999345824305,36
2.516715957372038,37
2.542202035106762,38
2.5634821429636405,39
2.569225612241361,40
2.589150050104795,41
2.581155411307774,42
2.583432384008585,43
2.6048757540005627,44
2.6337110384746834,45
2.628981704801177,46
2.6505623866339385,47
2.67506173963624,48
2.699370276360285,49
2.7043658201562035,50
2.7165161284875765,51
2.7334344532882047,52
2.732783038661165,53
2.7364546602032314,54
2.751011640676344,55
2.7662136704320948,56
2.7933476301777898,57
2.808305256211438,58
2.815886229388907,59
2.8264776200056074,60
2.8352703436910565,61
2.848285327168135,62
2.860933159946134,63
2.882597933135306,64
2.913350240414978,65
2.9277998027626913,66
2.945797367994465,67
2.9601373175536496,68
2.97953479030378,69
2.9941528191878684,70
3.0093627113365047,71
3.0362082832251436,72
3.072526718406191,73
3.0960452225249453,74
3.1144163897081656,75
3.1407298929117924,76
3.16445301834381,77
3.188155528932725,78
3.2178751735957194,79
3.2323710070095126,80
3.2713726894068946,81
3.2940282380879733,82
3.320127309745095,83
3.3527265692711192,84
3.3869490993763107,85
3.4055890863140426,86
3.4397984179995222,87
3.462777780199593,88
3.4904499592331613,89
3.522935751669201,90
3.5723613073028195,91
3.6106928548447175,92
3.668030608975047,93
3.706097126887763,94
3.7599575600777455,95
3.8240239078316978,96
3.890826714032021,97
3.9455301557876625,98
4.0247351619196525,99
4.1441945787602,100
