ade_cnn, fraction
2.4666792220539517,1
2.536810319456789,2
2.4834616829951606,3
2.5974197135203414,4
2.622325544555982,5
2.60817858107664,6
2.5260232407895344,7
2.6031833444204597,8
2.6413435420872253,9
2.640841814378897,10
2.691099348844904,11
2.6825766738642147,12
2.671831915903295,13
2.633356195948427,14
2.6447103563282224,15
2.6956684979506664,16
2.690971316270579,17
2.6822114998911633,18
2.664809544881185,19
2.655443872676955,20
2.658196232779316,21
2.6521804189742215,22
2.6516639385822316,23
2.6276492363324873,24
2.6171705057885912,25
2.598656347928903,26
2.5789240645283042,27
2.564393745410064,28
2.556881240729628,29
2.5394368337812248,30
2.538669496934901,31
2.5150754782888622,32
2.500756072225394,33
2.5059891471188833,34
2.50787366396851,35
2.5077610932014607,36
2.495488588068936,37
2.476099641960964,38
2.483775282262737,39
2.474639926188522,40
2.4677410854233637,41
2.457793402529898,42
2.4584700258049237,43
2.453259802000089,44
2.446022010070306,45
2.4556312270930425,46
2.4548158012242465,47
2.446492760890612,48
2.447573046362589,49
2.4428680188126033,50
2.448410851308723,51
2.437780782261975,52
2.429718890592487,53
2.4287007067797117,54
2.419821032400083,55
2.410725680697295,56
2.4107574039732502,57
2.4271366612207843,58
2.4257950372502854,59
2.4162981990034935,60
2.4138646240062833,61
2.4149956262293255,62
2.401282082132772,63
2.4096802085275866,64
2.4089187654929285,65
2.408762352559904,66
2.3975154679657806,67
2.4013347395153994,68
2.402094028638181,69
2.394450212447416,70
2.3875698571054027,71
2.387445316063585,72
2.390381621829088,73
2.3867415281700657,74
2.377086893165553,75
2.379289115185452,76
2.373589859229834,77
2.370770209641368,78
2.3614755092835793,79
2.360549814812839,80
2.3641087386465856,81
2.369423804466479,82
2.369082885753199,83
2.370023302359398,84
2.366317263557241,85
2.365028087194114,86
2.3693448229196883,87
2.36548071266199,88
2.3625360431705373,89
2.3601662995822634,90
2.3535669478559376,91
2.356109531155387,92
2.352924352531792,93
2.3460278196291156,94
2.3436757777692283,95
2.3331730228641794,96
2.333304970824978,97
2.332981479968749,98
2.326754394956309,99
2.3258819702433216,100
