0,175,88,1653054003.585042
1,179,87,1653054004.1489115
1,174,88,1653054004.1489766
1,181,85,1653054004.304875
1,174,88,1653054004.3049378
1,181,85,1653054004.4712021
1,174,88,1653054004.4712665
1,181,85,1653054004.6398685
1,177,87,1653054004.6399329
1,183,85,1653054004.802639
1,181,87,1653054004.8027077
1,184,85,1653054004.9646585
1,181,87,1653054004.9647126
1,187,83,1653054005.1265562
1,181,85,1653054005.126621
1,187,83,1653054005.2845042
1,180,86,1653054005.2845693
1,189,82,1653054005.4492996
1,184,83,1653054005.4493651
1,189,82,1653054005.6157238
1,183,83,1653054005.6157928
1,190,82,1653054005.7825756
3,188,83,1653054006.10338
4,67,184,1653054006.6378462
4,68,187,1653054006.7309365
4,68,187,1653054006.887319
4,68,187,1653054006.9684756
6,68,187,1653054007.2563539
9,120,108,1653054007.5797563
9,115,114,1653054007.6691813
9,115,114,1653054007.8119278
9,116,114,1653054007.9063923
9,118,113,1653054007.9911253
11,70,185,1653054008.1565764
9,118,113,1653054008.156643
11,70,188,1653054008.3201833
11,70,189,1653054008.4010043
11,70,189,1653054008.4906383
11,71,186,1653054008.5720768
11,71,186,1653054008.6646655
11,71,186,1653054008.756917
11,71,186,1653054008.921151
12,121,112,1653054008.9212158
11,71,186,1653054009.0830202
12,122,111,1653054009.0830724
11,71,190,1653054009.2249916
12,122,111,1653054009.22505
11,71,190,1653054009.3703148
12,122,111,1653054009.370382
11,72,186,1653054009.5355563
12,123,110,1653054009.5356255
11,72,186,1653054009.7018526
12,123,110,1653054009.701926
11,73,186,1653054009.8656833
12,126,109,1653054009.8657365
11,73,186,1653054010.012456
12,126,109,1653054010.0125225
11,73,186,1653054010.1764393
12,126,109,1653054010.1765041
11,73,186,1653054010.3409662
12,127,109,1653054010.3410256
11,73,186,1653054010.4969857
12,127,109,1653054010.4970517
11,73,187,1653054010.6636283
12,136,101,1653054010.6636848
11,73,187,1653054010.8177047
12,136,101,1653054010.8177705
11,74,187,1653054010.979062
12,138,100,1653054010.9791322
11,74,187,1653054011.1451554
12,138,100,1653054011.1452215
11,74,187,1653054011.3076758
12,138,100,1653054011.3077304
11,74,187,1653054011.463369
12,139,99,1653054011.4634337
11,74,187,1653054011.6295097
12,139,99,1653054011.6295729
11,74,187,1653054011.7965424
12,141,98,1653054011.7966042
